Group;Species;Biolum
Bacteria;Shewanella;bioluminescent
Bacteria;Photobacterium;bioluminescent
Bacteria;Vibrio;bioluminescent
Bacteria;Aliivibrio;bioluminescent
Bacteria;Photorhabdus;bioluminescent
Dinoflagellata;Polykrikos;bioluminescent
Dinoflagellata;Noctiluca;bioluminescent
Dinoflagellata;Tripos;bioluminescent
Dinoflagellata;Alexandrium;bioluminescent
Dinoflagellata;Gonyaulax;bioluminescent
Dinoflagellata;Lingulodinium;bioluminescent
Dinoflagellata;Pyrodinium;bioluminescent
Dinoflagellata;Protoperidinium;bioluminescent
Dinoflagellata;Fragilidium;bioluminescent
Dinoflagellata;Pyrophacus;bioluminescent
Dinoflagellata;Dissodinium;bioluminescent
Dinoflagellata;Pyrocystis;bioluminescent
Dinoflagellata;Peridiniella;bioluminescent
Dinoflagellata;Ceratocorys;bioluminescent
Fungus;Neonothopanus;bioluminescent
Fungus;Omphalotus;bioluminescent
Fungus;Filoboletus;bioluminescent
Fungus;Mycena;bioluminescent
Fungus;Panellus;bioluminescent
Fungus;Resinomycena;bioluminescent
Fungus;Roridomyces;bioluminescent
Fungus;Gerronema;bioluminescent
Fungus;Armillaria;bioluminescent
Radiolaria;Thalassicolla;bioluminescent
Radiolaria;Cytocladus;bioluminescent
Radiolaria;Collozoum;bioluminescent
Radiolaria;Rhaphidozoum;bioluminescent
Radiolaria;Sphaerozoum;bioluminescent
Radiolaria;Acrosphaera;bioluminescent
Radiolaria;Collosphaera;bioluminescent
Radiolaria;Siphonosphaera;bioluminescent
Radiolaria;Tuscaridium;bioluminescent
Radiolaria;Aulosphaera;bioluminescent
Porifera;Grantia;bioluminescent
Cnidaria;Atolla;bioluminescent
Cnidaria;Periphylla;bioluminescent
Cnidaria;Pelagia;bioluminescent
Cnidaria;Poralia;bioluminescent
Cnidaria;Nausithoe;bioluminescent
Cnidaria;Paraphyllina;bioluminescent
Cnidaria;Periphyllopsis;bioluminescent
Cnidaria;Phacellophora;bioluminescent
Cnidaria;Aequorea;bioluminescent
Cnidaria;Campanularia;bioluminescent
Cnidaria;Clytia;bioluminescent
Cnidaria;Phialidium;bioluminescent
Cnidaria;Obelia;bioluminescent
Cnidaria;Tima;bioluminescent
Cnidaria;Lovenella;bioluminescent
Cnidaria;Mitrocoma;bioluminescent
Cnidaria;Leuckartiara;bioluminescent
Cnidaria;Stomotoca;bioluminescent
Cnidaria;Octophialucium;bioluminescent
Cnidaria;Euphysa;bioluminescent
Cnidaria;Aegina;bioluminescent
Cnidaria;Aeginura;bioluminescent
Cnidaria;Cunina;bioluminescent
Cnidaria;Solmissus;bioluminescent
Cnidaria;Colobonema;bioluminescent
Cnidaria;Crossota;bioluminescent
Cnidaria;Bythotiara;bioluminescent
Cnidaria;Bythotiara;bioluminescent
Cnidaria;Halicreas;bioluminescent
Cnidaria;Haliscera;bioluminescent
Cnidaria;Halitrephes;bioluminescent
Cnidaria;Halopsis;bioluminescent
Cnidaria;Mitrocomella;bioluminescent
Cnidaria;Pandea;bioluminescent
Cnidaria;Pegantha;bioluminescent
Cnidaria;Solmundella;bioluminescent
Cnidaria;Abyla;bioluminescent
Cnidaria;Abylopsis;bioluminescent
Cnidaria;Bassia;bioluminescent
Cnidaria;Ceratocymba;bioluminescent
Cnidaria;Agalma;bioluminescent
Cnidaria;Halistemma;bioluminescent
Cnidaria;Nanomia;bioluminescent
Cnidaria;Apolemia;bioluminescent
Cnidaria;Chelophyes;bioluminescent
Cnidaria;Diphyes;bioluminescent
Cnidaria;Sulculeolaria;bioluminescent
Cnidaria;Forskalia;bioluminescent
Cnidaria;Hippopodius;bioluminescent
Cnidaria;Vogtia;bioluminescent
Cnidaria;Amphicaryon;bioluminescent
Cnidaria;Maresearsia;bioluminescent
Cnidaria;Nectopyramis;bioluminescent
Cnidaria;Praya;bioluminescent
Cnidaria;Rosacea;bioluminescent
Cnidaria;Rhizophysa;bioluminescent
Cnidaria;Chuniphyes;bioluminescent
Cnidaria;Craseoa;bioluminescent
Cnidaria;Gymnopraia;bioluminescent
Cnidaria;Lensia;bioluminescent
Cnidaria;Lilyopsis;bioluminescent
Cnidaria;Muggiaea;bioluminescent
Cnidaria;Nectadamas;bioluminescent
Cnidaria;Sphaeronectes;bioluminescent
Cnidaria;Bargmannia;bioluminescent
Cnidaria;Erenna;bioluminescent
Cnidaria;Frillagalma;bioluminescent
Cnidaria;Acanella;bioluminescent
Cnidaria;Ishidella;bioluminescent
Cnidaria;Keratoisis;bioluminescent
Cnidaria;Lepidisis;bioluminescent
Cnidaria;Primnoisis;bioluminescent
Cnidaria;Thouarella;bioluminescent
Cnidaria;Iridogorgia;bioluminescent
Cnidaria;Acanthogorgia;bioluminescent
Cnidaria;Anthomastus;bioluminescent
Cnidaria;Funiculina;bioluminescent
Cnidaria;Pennatula;bioluminescent
Cnidaria;Ptilosarcus;bioluminescent
Cnidaria;Distichoptilum;bioluminescent
Cnidaria;Pteroeides;bioluminescent
Cnidaria;Renilla;bioluminescent
Cnidaria;Stachyptilum;bioluminescent
Cnidaria;Umbellula;bioluminescent
Cnidaria;Cavernularia;bioluminescent
Cnidaria;Veretillum;bioluminescent
Cnidaria;Acanthoptilum;bioluminescent
Cnidaria;Stylatula;bioluminescent
Cnidaria;Virgularia;bioluminescent
Cnidaria;Epizoanthus;bioluminescent
Cnidaria;Parazoanthus;bioluminescent
Cnidaria;Savalia;bioluminescent
Cnidaria;Eleutherobia;bioluminescent
Cnidaria;Actinoscyphia;bioluminescent
Cnidaria;Parazoanthidaen.gen.;bioluminescent
Cnidaria;Halipteris;bioluminescent
Cnidaria;Protoptilum;bioluminescent
Cnidaria;Chrysogorgia;bioluminescent
Cnidaria;Heteropolypus;bioluminescent
Cnidaria;Kophobelemnon;bioluminescent
Cnidaria;Paragorgia;bioluminescent
Ctenophora;Haeckelia;bioluminescent
Ctenophora;Lampea;bioluminescent
Ctenophora;Callianira;bioluminescent
Ctenophora;Mertensia;bioluminescent
Ctenophora;Bolinopsis;bioluminescent
Ctenophora;Deiopea;bioluminescent
Ctenophora;Mnemiopsis;bioluminescent
Ctenophora;Eurhamphaea;bioluminescent
Ctenophora;Leucothea;bioluminescent
Ctenophora;Ocyropsis;bioluminescent
Ctenophora;Cestum;bioluminescent
Ctenophora;Velamen;bioluminescent
Ctenophora;Beroe;bioluminescent
Ctenophora;Aulacoctena;bioluminescent
Ctenophora;Bathocyroe;bioluminescent
Ctenophora;Bathyctena;bioluminescent
Ctenophora;Charistephane;bioluminescent
Ctenophora;Euplokamis;bioluminescent
Ctenophora;Kiyohimea;bioluminescent
Ctenophora;Thalassocalyce;bioluminescent
Nemertea;Emplectonema;bioluminescent
Gastropoda;Angiola;bioluminescent
Gastropoda;Planaxis;bioluminescent
Gastropoda;Hinea;bioluminescent
Gastropoda;Melanella;bioluminescent
Gastropoda;Kaloplocamus;bioluminescent
Gastropoda;Plocamopherus;bioluminescent
Gastropoda;Kalinga;bioluminescent
Gastropoda;Phylliroe;bioluminescent
Gastropoda;Latia;bioluminescent
Gastropoda;Quantula;bioluminescent
Gastropoda;Dyakia;bioluminescent
Gastropoda;Hemiplecta;bioluminescent
Bivalvia;Gastrochaena;bioluminescent
Bivalvia;Pholas;bioluminescent
Bivalvia;Cucullaea;bioluminescent
Cephalopoda;Spirula;bioluminescent
Cephalopoda;Euprymna;bioluminescent
Cephalopoda;Heteroteuthis;bioluminescent
Cephalopoda;Inioteuthis;bioluminescent
Cephalopoda;Iridoteuthis;bioluminescent
Cephalopoda;Nectoteuthis;bioluminescent
Cephalopoda;Rondeletiola;bioluminescent
Cephalopoda;Semirossia;bioluminescent
Cephalopoda;Sepiola;bioluminescent
Cephalopoda;Sepiolina;bioluminescent
Cephalopoda;Stoloteuthis;bioluminescent
Cephalopoda;Amphorateuthis;bioluminescent
Cephalopoda;Loliolus;bioluminescent
Cephalopoda;Uroteuthis;bioluminescent
Cephalopoda;Lampadioteuthis;bioluminescent
Cephalopoda;Lycoteuthis;bioluminescent
Cephalopoda;Nematolampas;bioluminescent
Cephalopoda;Selenoteuthis;bioluminescent
Cephalopoda;Abralia;bioluminescent
Cephalopoda;Abraliopsis;bioluminescent
Cephalopoda;Ancistrocheirus;bioluminescent
Cephalopoda;Enoploteuthis;bioluminescent
Cephalopoda;Pterygioteuthis;bioluminescent
Cephalopoda;Pyroteuthis;bioluminescent
Cephalopoda;Ancistrocheirus;bioluminescent
Cephalopoda;Watasenia;bioluminescent
Cephalopoda;Octopoteuthis;bioluminescent
Cephalopoda;Taningia;bioluminescent
Cephalopoda;Onychoteuthis;bioluminescent
Cephalopoda;Cycloteuthis;bioluminescent
Cephalopoda;Discoteuthis;bioluminescent
Cephalopoda;Gonatus;bioluminescent
Cephalopoda;Histioteuthis;bioluminescent
Cephalopoda;Bathyteuthis;bioluminescent
Cephalopoda;Chtenopteryx;bioluminescent
Cephalopoda;Brachioteuthis;bioluminescent
Cephalopoda;Slosarczykovia;bioluminescent
Cephalopoda;Batoteuthis;bioluminescent
Cephalopoda;Dosidicus;bioluminescent
Cephalopoda;Hyaloteuthis;bioluminescent
Cephalopoda;Ommastrephes;bioluminescent
