"Group" "Concept" "Biolum" "Habitat"
"1" "Crustacea" "Acanthamunnopsis milleri" "non-bioluminescent" "pelagic"
"30" "Fishes" "Actinopteri" "undefined" "benthic"
"51" "Hydromedusae" "Aegina" "bioluminescent" "pelagic"
"103" "Hydromedusae" "Aegina bent-tentacle" "undefined" "pelagic"
"111" "Hydromedusae" "Aegina citrea" "bioluminescent" "pelagic"
"229" "Hydromedusae" "Aeginura" "bioluminescent" "pelagic"
"234" "Annelida" "Alciopidae" "non-bioluminescent" "pelagic"
"235" "Hydromedusae" "Anthomedusae" "likely" "pelagic"
"238" "Siphonophora" "Apolemia" "bioluminescent" "pelagic"
"256" "Appendicularia" "Appendicularia" "likely" "pelagic"
"522" "Hydromedusae" "Arctapodema" "bioluminescent" "pelagic"
"538" "Scyphozoa" "Atolla" "bioluminescent" "pelagic"
"539" "Scyphozoa" "Atolla wyvillei" "bioluminescent" "pelagic"
"551" "Rhizaria" "Aulosphaera" "bioluminescent" "pelagic"
"554" "Siphonophora" "Bargmannia elongata" "bioluminescent" "pelagic"
"558" "Siphonophora" "Bargmannia" "bioluminescent" "pelagic"
"568" "Appendicularia" "Bathochordaeus" "unlikely" "pelagic"
"603" "Ctenophora" "Bathocyroe" "bioluminescent" "pelagic"
"619" "Fishes" "Bathylagidae" "unlikely" "pelagic"
"621" "Ctenophora" "Beroe" "bioluminescent" "pelagic"
"647" "Ctenophora" "Bolinopsis infundibulum" "bioluminescent" "pelagic"
"660" "Hydromedusae" "Botrynema brucei" "bioluminescent" "pelagic"
"664" "Chaetognatha" "Caecosagitta macrocephala" "bioluminescent" "pelagic"
"701" "Siphonophora" "Calycophorae" "bioluminescent" "pelagic"
"756" "Hydromedusae" "Calycopsidae" "bioluminescent" "pelagic"
"757" "Chaetognatha" "Chaetognatha" "unlikely" "pelagic"
"1007" "Annelida" "Chaetopterus pugaporcinus" "bioluminescent" "pelagic"
"1009" "Siphonophora" "Chuniphyes multidentata" "bioluminescent" "pelagic"
"1016" "Siphonophora" "Chuniphyes moserae" "bioluminescent" "pelagic"
"1018" "Siphonophora" "Chuniphyes" "bioluminescent" "pelagic"
"1030" "Pteropoda" "Clione limacina" "non-bioluminescent" "pelagic"
"1031" "Hydromedusae" "Colobonema sericeum" "bioluminescent" "pelagic"
"1044" "Siphonophora" "Cordagalma" "bioluminescent" "pelagic"
"1045" "Scyphozoa" "Coronatae" "bioluminescent" "pelagic"
