"Depth" "Seconds"
50 232735
150 211045
250 393711
350 473383
450 476893
550 440459
650 315989
750 301756
850 235193
950 162854
1050 172166
1150 148866
1250 172205
1350 148072
1450 122340
1550 112227
1650 117586
1750 102853
1850 107253
1950 92244
2050 91716
2150 90772
2250 81023
2350 64922
2450 68703
2550 56913
2650 52093
2750 74094
2850 67264
2950 81246
3050 38609
3150 42766
3250 54539
3350 26175
3450 28730
3550 68020
3650 29469
3750 16761
3850 2638
3950 7951
