GENRE;ORDER;SPECIES;QUALITY;SOURCE;INFO1;INFO2;INFO3
Bacteria;;Shewanella;;Haddocketal.,2010,Dunlap&Urbanczyk,2013;;;
Bacteria;;Photobacterium;;Dunlap&Urbanczyk,2013;;;
Bacteria;;Vibrio;;Dunlap&Urbanczyk,2013;;;
Bacteria;;Aliivibrio;;Dunlap&Urbanczyk,2013;;;
Bacteria;;Photorhabdus;;Dunlap&Urbanczyk,2013;;;
Dinoflagellata;;Polykrikos;;Oba,2021;Gymnodiniales;Polykrikaceae;
Dinoflagellata;;Noctiluca;;Oba,2021;Noctilucales;Noctilucaceae;
Dinoflagellata;;Tripos;;Gomez,2013;Gonyaulaceles;Ceratiaceae;Neoceratium(Gomezetal.,2010)isillegitimate(Calado&Huisman,2010)
Dinoflagellata;;Alexandrium;;Oba,2021;Gonyaulaceles;Gonyaulacaceae;
Dinoflagellata;;Gonyaulax;;Oba,2021;Gonyaulaceles;Gonyaulacaceae;BothProtoceratiumreticulatum(formerlyGonyaulaxgrindleyi)andG.grndleyiarelistedinMarcinkoetal.,2013.
Dinoflagellata;;Lingulodinium;;Oba,2021;Gonyaulaceles;Gonyaulacaceae;
Dinoflagellata;;Pyrodinium;;Oba,2021;Gonyaulaceles;Gonyaulacaceae;
Dinoflagellata;;Protoperidinium;;Oba,2021;Peridiniales;Protoperidiniaceae;
Dinoflagellata;;Fragilidium;;Oba,2021;Gonyaulaceles;Pyrophacaceae;
Dinoflagellata;;Pyrophacus;;Oba,2021;Gonyaulaceles;Pyrophacaceae;
Dinoflagellata;;Dissodinium;;Oba,2021;Pyrocystales;Pyrocystaceae;
Dinoflagellata;;Pyrocystis;;Oba,2021;Pyrocystales;Pyrocystaceae;(=Dissodinium)
Dinoflagellata;;Peridiniella;?;"Valiadi&Iglesias-rodriguez,2013""thereportisanecdotalandnotconfirmed"".";Gonyaulaceles;Cladopyxidaceae;
Dinoflagellata;;Ceratocorys;;Valiadi&Iglesias-rodriguez,2013;Gonyaulaceles;Ceratocoryaceae;
Fungus;;Neonothopanus;;Cortes-Perezetal.,2019;Omphalotaceae;;
Fungus;;Omphalotus;;Cortes-Perezetal.,2019;Omphalotaceae;;
Fungus;;Filoboletus;;Cortes-Perezetal.,2019;Mycenaceae;(=poromycena);
Fungus;;Mycena;;Cortes-Perezetal.,2019;Mycenaceae;;
Fungus;;Panellus;;Cortes-Perezetal.,2019;Mycenaceae;(=Dictyopanus);
Fungus;;Resinomycena;;Cortes-Perezetal.,2019;Mycenaceae;;
Fungus;;Roridomyces;;Cortes-Perezetal.,2019;Physalacriaceae;;
Fungus;;Gerronema;;Cortes-Perezetal.,2019;Mycenaceae;;
Fungus;;Armillaria;;Cortes-Perezetal.,2019;Physalacriaceae;;
Radiolaria;Radiozoa,Collodaria;Thalassicolla;;Oba,2021;Thalassicollidae;;
Radiolaria;Radiozoa,Collodaria;Cytocladus;;Oba,2021;Thalassicollidae;;
Radiolaria;Radiozoa,Collodaria;Collozoum;;Oba,2021;Collozoidae;;
Radiolaria;Radiozoa,Collodaria;Rhaphidozoum;;Latsetal.,1987;1species(WORMS);Collozoidae;
Radiolaria;Radiozoa,Collodaria;Sphaerozoum;;Latsetal.,1987;1species(WORMS);Collozoidae;
Radiolaria;Radiozoa,Collodaria;Acrosphaera;;Latsetal.,1987;1species(WORMS);Collozoidae;
Radiolaria;Radiozoa,Collodaria;Collosphaera;;Latsetal.,1987;6species(WORMS);Collosphaeridae;
Radiolaria;Radiozoa,Collodaria;Siphonosphaera;;Latsetal.,1987;5species(WORMS);Collosphaeridae;
Radiolaria;Cercozoa,Phaeocalpida;Tuscaridium;;LingandHaddock,1997.Paleontol.Res.,Haddocketal.,2010;Tuscaroridae;;
Radiolaria;Cercozoa,Phaeosphaerida;Aulosphaera;;Oba,2021;Aulosphaeridae;;
Porifera;Cercozoa,Phaeosphaerida;Grantia;DOUBTFUL(Haddocketal.,2010.;Oba,2021;;;
Cnidaria;Scyphozoa;Atolla;;Oba,2021;;;
Cnidaria;Scyphozoa;Periphylla;;Oba,2021;;;
Cnidaria;Scyphozoa;Pelagia;;Oba,2021;;;
Cnidaria;Scyphozoa;Poralia;;Oba,2021;;;
Cnidaria;Scyphozoa;Nausithoe;;Haddocketal.,2010;;;
Cnidaria;Scyphozoa;Paraphyllina;;Haddocketal.,2010;;;
Cnidaria;Scyphozoa;Periphyllopsis;;Haddocketal.,2010;;;
Cnidaria;Scyphozoa;Phacellophora;;Haddocketal.,2010;;;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Aequorea;;Oba,2021;Leptomedusae;Aequoreidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Campanularia;;Oba,2021;Leptomedusae;Campanulariidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Clytia;Clytia;Oba,2021;Leptomedusae;Campanulariidae;
